Population,Area,Anti-Social Behaviour,Burglary,Robbery,Vehicle Crimes,Violent Crimes,Shoplifting,Criminal Damage & Arson,Other Theft,Drugs,Other Crimes,Bike Theft,Weapons
157871,"130,793.68",25800,3476,155,1865,7596,4214,5313,4776,1518,599,726,160
238950,"5,046.91",25316,9549,1777,8169,17723,3734,5510,7942,2974,883,651,286
91036,"21,526.53",9592,2082,37,1324,3527,753,2849,1979,533,305,241,93
91818,"9,386.11",36271,4077,232,3493,9476,5746,7564,5232,1564,576,803,258
90260,"2,972.40",20366,3097,408,2864,12324,3234,6136,4373,1729,664,488,415
120589,"5,536.97",23235,3030,154,2652,10007,4405,6372,3494,1162,790,943,283
237245,"11,236.35",24221,10578,1804,11380,21678,5625,8040,10905,3147,1059,725,366
183202,"217,973.24",33126,4872,196,2778,15576,3544,6275,6298,2342,947,932,331
100068,"10,116.00",13206,3303,279,3394,6611,2269,3829,4627,1570,749,284,627
90864,"53,914.69",15526,2376,92,2017,4572,1560,3373,2228,1013,398,153,125
273933,"11,569.87",45113,12376,2333,15747,30607,8732,11621,18173,4371,4605,1560,726
105168,"29,734.91",7411,3580,114,3829,5584,2146,3696,3275,493,375,441,100
131421,"53,027.07",12239,2814,110,2088,7407,1712,3899,3197,735,549,465,185
253906,"5,598.62",38946,10143,2094,14201,29499,7566,9960,14131,5605,2028,2813,501
169514,"90,618.31",20187,4817,265,4034,9743,2902,6126,6090,1465,682,1379,238
80718,"7,299.32",26661,3819,139,3253,7485,2315,5438,4271,659,304,244,100
133416,"3,941.46",27207,4793,645,5231,17888,8118,9210,6306,2255,1296,2490,474
69730,"71,124.11",8681,1057,38,538,5130,1210,2846,1788,620,314,92,93
138182,"38,016.10",23226,2194,162,1423,10320,3005,6561,4459,2139,746,432,324
206072,"1,485.95",37000,11522,5543,12554,29268,6570,9168,20886,6351,1380,4978,706
158755,"1,212.95",26766,8148,2617,12890,16867,8175,4899,21206,5621,1145,2766,481
93483,"23,349.24",21912,4206,453,3361,9280,3718,4958,3385,1008,442,457,229
147352,"142,879.40",17978,3306,185,1980,10962,3033,5648,4486,1983,731,1010,230
256066,"7,144.92",39060,18065,1495,10869,36927,17802,21765,15167,3879,2520,5435,747
160055,"3,724.69",19151,5143,675,4494,12686,5176,4912,7107,3222,542,1622,208
422071,"40,859.65",67285,19587,1450,16014,39557,12067,22127,19664,3628,2957,985,1006
145735,"8,646.93",29762,4574,440,4554,11043,3735,9421,3925,4637,877,543,367
303183,"2,682.14",54817,15378,7666,16733,41773,6701,12798,26893,10331,1872,5306,1371
138376,"57,585.64",36425,5749,230,3551,12458,4217,8727,5810,1255,676,1401,197
749399,"55,172.44",117367,46721,4389,38418,86678,29606,48046,51239,10519,8357,5953,1836
329286,"7,331.48",50791,16306,2393,16663,37509,14186,21355,18528,4556,2295,6137,1254
97460,"29,207.10",11842,1838,86,1419,6518,1333,3666,2712,600,541,236,155
276000,"3,514.54",38259,12198,4731,12787,34333,5601,11167,14367,6413,1469,1719,888
100734,"33,129.71",10871,2053,147,1724,6216,1319,2809,2773,779,469,241,106
93460,"3,568.80",25122,5238,324,3984,9068,8002,6116,5108,1964,1009,2269,359
